track_popularity,playlist_genre,playlist_subgenre,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,duration_m,year,mouth,day,day_1_2_3,mouth_1_2_3_4
63,2,3,0.588,0.697,-4.744,0,0.0372,0.186,0.000219,0.225,125.157,3,2018,10,19,2,1
55,2,3,0.355,0.789,-4.358,0,0.165,0.0148,0.0,0.169,80.444,4,2019,12,12,2,2
52,2,3,0.542,0.84,-5.283,0,0.0419,0.0336,8.45e-05,0.509,118.02,3,2019,11,1,1,1
67,2,3,0.735,0.5,-11.297,1,0.0511,0.415,3.12e-05,0.119,126.1,2,2019,11,1,1,1
63,2,3,0.752,0.84,-4.451,0,0.0373,0.00486,0.0109,0.461,124.002,5,2019,8,9,1,4
60,2,3,0.748,0.903,-5.877,0,0.0385,0.0324,0.0,0.751,115.018,4,2019,8,23,3,4
45,2,3,0.607,0.955,-3.613,0,0.102,0.0163,0.121,0.501,125.984,4,2019,12,27,3,2
58,2,3,0.607,0.995,-2.325,0,0.0487,0.0921,0.002,0.664,124.998,3,2019,7,11,2,4
51,2,3,0.679,0.786,-6.918,0,0.132,0.119,5.89e-06,0.47,126.092,3,2019,9,12,2,1
58,2,3,0.714,0.801,-5.8,0,0.0301,0.0204,0.00615,0.292,124.015,4,2019,11,15,2,1
56,2,3,0.69,0.862,-4.154,1,0.0944,0.0611,1.85e-05,0.453,121.975,3,2018,9,28,3,1
60,2,3,0.775,0.867,-7.388,0,0.204,0.0158,0.0117,0.565,128.956,5,2019,3,27,3,3
48,2,3,0.814,0.838,-5.547,1,0.0763,0.001,0.0223,0.959,121.978,4,2019,10,11,2,1
56,2,3,0.784,0.779,-5.48,1,0.0387,0.0357,0.025,0.459,124.994,4,2019,10,4,1,1
56,2,3,0.367,0.783,-4.504,1,0.154,0.00515,0.0,0.289,88.013,3,2019,9,13,2,1
65,2,3,0.609,0.83,-3.759,0,0.0793,0.201,6.18e-05,0.604,117.833,4,2018,2,9,1,2
39,2,3,0.591,0.702,-5.59,1,0.0289,0.225,0.0,0.501,104.003,4,2019,5,31,3,3
83,2,3,0.59,0.642,-3.87,1,0.122,0.0771,0.0,0.651,107.356,3,2019,5,24,3,3
83,2,3,0.791,0.565,-3.933,0,0.0439,0.0623,0.0,0.181,99.961,3,2019,3,8,1,3
71,2,3,0.564,0.747,-3.374,1,0.0584,0.0728,0.0,0.717,97.878,3,2019,7,12,2,4
81,2,3,0.669,0.801,-5.445,1,0.136,0.268,0.0,0.541,109.919,3,2019,4,12,2,3
85,2,3,0.77,0.882,-4.792,1,0.0602,0.194,0.0,0.385,99.991,4,2019,5,31,3,3
76,2,3,0.513,0.788,-4.629,1,0.0364,0.00968,0.0,0.234,139.987,4,2019,3,27,3,3
71,2,3,0.72,0.864,-3.249,1,0.208,0.0856,0.0,0.659,96.048,3,2019,5,3,1,3
65,2,3,0.789,0.858,-4.388,1,0.0404,0.22,4.58e-05,0.491,110.012,3,2019,10,4,1,1
67,2,3,0.294,0.505,-8.106,1,0.042,0.12,0.0,0.357,85.332,3,2019,7,24,3,4
74,2,3,0.665,0.799,-2.868,0,0.0617,0.18,0.0,0.5,101.976,4,2019,6,21,3,4
81,2,3,0.46,0.8,-3.584,1,0.05,0.289,6.16e-06,0.553,102.46,4,2019,3,22,3,3
71,2,3,0.362,0.921,-3.815,0,0.486,0.123,0.0,0.529,172.191,3,2019,6,14,2,4
